sentence1	sentence2	label
I would tell you that the future of the country is a very bright future.	Ina son in sanar da ku cewa, makomar wannan kasar wata makoma ce mai kyau.	1
Therefore, one can say with certainty that Mab'ath is the best, the greatest and the most auspicious day of the year.	A saboda haka a fili ana iya fadin cewa ranar aiko annabi, ita ce mafi daukaka da kuma girma cikin ranakun shekara.	1
One month after the Revolution, one would see these popular movements being carried out by the youth of Kermanshah. This is what Basij is.	Wata guda bayan nasarar juyin nan mutum ya ga irin wannan yunkuri na mutane, wadannan matasa da suka fito daga wannan gari na Kermanshah. Wannan shi ne Basiji.	1
covers at the time, and was a muse and great friend of Yves Saint Laurent,	Ta kasance aboki da kuma mai da hankali ga babban Yves Saint Laurent.	0
This is the kind of importance that should be attached to the issue of Mahdaviat and we are better qualified to work on this issue.	A saboda haka wannan lamari ya ke a fili kuma mu din nan mu ne muka fi dacewar da mu yi magana kan wannan lamari; mu gudanar da ayyuka na ilimi da suke cike da hujjoji kan wannan batu.	1
Since the first days that the issue of DAESH arose, the Americans asked our ambassador in Iraq - through their ambassador - to organize a meeting and reach an agreement on the issue of DAESH.	Saboda tun a ranar farko da wannan batu na Da'ish ya kunno kai a kasar Iraki, Amurkawa ta hanyar jakadansu da ke Iraki, ya bukaci jakadanmu da ke Irakin cewa ku zo mu zauna mu hada kai dangane da batun Da'ish.	1
If your performance is delivered in a way that it oversteps the boundaries of sharia, then this opportunity will be wasted. If it ignores the fundamental things which the people need to know today, this opportunity will be wasted. Imagine that during the Sacred Defense Era when the country was in need of enthusiastic valor in jihad and in practical arenas, somebody attends a meeting and he recites a poem in a good way in the presence of youth and fathers and mothers, but if he does not mention the needs of the time, he has wasted the opportunity.	Ko kuma ya zamana ba a lura da bukatun mutane ba, shi ma yana lalata wannan damar. A matsayin misali a lokacin kallafaffen yaki, a lokacin da kasar nan take bukatar wani kumaji na jihadi a aikace sannan kuma a fage, sannan kuma ga irin shirin da matasa da iyaye maza da mata suke ciki. Shi kenan sai a sami wani mawaki ya tafi wajen irin tarurrukan da ake gudanar ya rera waka, wakar ma mai dadi, amma sai bai tabo wannan bukatar da ake da ita ba a lokacin (wato irin wannan kumajin), to ka ga wannan lalata damar da aka samu ne.	1
Freedom is the right of all people & their duty to uphold those rights, regardless of the consequences.	Adalci shine, bai wa kowa hakkinsa da Shari'a ta tabbatar masa, ba tare da nuna ko wane irin banbanci ba.	0
After eleven days in a hospital for an operation to stop internal bleeding, Imam Khomeini died of cancer on Saturday, June 3, 1989, at the age of 89.	Daidai karfe sha daya da minti ashirin na dare ranar asabar 13 ga watan Khordad 1368 (3 ga Yuni 1989) lokacin saduwa da abin kauna ya yi.	1
The effect of the movement that is carried out in different countries in order to root out illiteracy is to enable people to make use of the collection of other people's thoughts and artistic talents. This is not possible without reading books.	Tasiri da sakamakon yunkurin yaki da jahilci da ake yi a wannan kasar shi ne wannan, wato cewa za mu sami damar amfanuwa da abubuwan da wasu suka gabatar na tunani da zauki da kuma kwarewar da suke da ita; wanda ba za a iya samun hakan ba kuwa in ba tare da karatu ba.	1
Branson Hotels provides employment to more than 150 peoples from different corners of the world.	Blossom Hotel Houston yana ba da ayyuka sama da 150 ga mazauna yankin.	0
They label as terrorists the resistance fighters who are defending their legitimate right of countering occupiers and interferers, but they do not recognize as terrorists their evil and mercenary centers which are threatening the life and security of innocent people.	A wajen su 'yan gwagwarmayar da suke amfani da wannan hanya ta gwagwarmaya wajen neman halaltattun hakkokinsu da kuma fada da 'yan mamaya to wadannan 'yan ta'adda ne, to amma ba sa ganin lalatattun 'yan amshin shatansu wadanda suka zamanto annoba ga rayuka da tsaron mutanen da ba su ci ba su sha ba a matsayin 'yan ta'adda.	1
"Being dependent on foreign products and ignoring the efforts of Iranian laborers is a kind of disease and a bad habit which direct our national wealth into the pockets of foreign laborers. The Leader of the Islamic Revolution said that consuming domestic products is one of the necessities of ""The Year of Economic Jihad"" and added: ""It is also necessary to raise the quality of these products to an acceptable level."""	Jagoran juyin juya halin Musulunci ya ci gaba da cewa: Damfara da kayayyakin da ake samarwa a waje da kuma yin watsi da kokarin da ma'aikata suke yi a cikin gida wata cuta ce mai muni da ke tura dukiyar kasar nan zuwa aljihun 'yan kasashen waje. A bangaren karshe na jawabin nasa a yayin ganawa da ma'aikata da leburorin, Jagoran juyin juya halin Musulunci ya yi karin haske kan batutuwan da suke faruwa a wannan yankin da kuma irin kashin da makiya suke sha a fadan da suke yi da Iran.	1
and High School teacher who's	Malam Zuhri kuwa, wanda shi ne	0
Physical strength is not enough. Having high intelligence is necessary.	A'a, karfi kawai bai wadatar ba, akwai bukatar hazaka.	1
Learn how to make a cryptocurrency	Koyi Yadda ake Cinikin Crypto	0
The English first infiltrated and interfered in the political system of our country in the year 1800. They recruited supporters for themselves. And certain other European countries accompanied them and did the same things.	Tun daga shekarar 1800 ne a karon farko turawa Ingila suka kutso cikin cibiyoyin siyasa na kasar nan da tsoma bakinsu, haka su din nan da na kurkusa da su na daga sauran kasashen turai suka ci gaba da hakan na tsawon wancan lokacin.	1
The gameplay can at times be amazing.	Wannan wasan na iya wani lokacin da zai baka mamaki!	0
First: unity and brotherhood of Muslims under the flag of monotheism.	Na farko: Hadin kai da ‘yan'uwantaka ta musulmi karkashin inuwar tauhidi.	1
Many years ago I said that one of my wishes is that one day we will be able to run the country without exporting even one single drop of oil.	Mu dai shekara da shekaru kenan na fadi cewa daya daga cikin fatan da nake da shi shi ne a sami wata ranar da za mu iya gudanar da wannan kasar ba tare da mun sayar da man fetur ba idan bukatar hakan ta taso.	1
"""Like I was saying, I never realized how much I miss her nagging until she wasn't there to nag at me anymore."""	"Ban taba sanin cewa akwai ranar da zanyi nadamar watsawa Yaya Harisu kasa a ido a lokacin da ya nema min matar aure na bijire ba sai yanzu."""	0
Dear God, make the holy heart of the Imam of the Age satisfied with us.	Ya Ubangiji Allah! Ka sanya zuciyar Waliyul Asr mai tsarki ta yarda da kuma yin farin ciki da mu.	1
families, breaching their human rights and the Church's duty to	matayansu ya sabawa ka'idojin sharia, kuma hanya ce ta	0
"I'm here to stay, I'm not going anywhere."""	"Amma dole ne na zauna a nan, bani da inda zan je kuma."""	0
the determination of:	♦ Nuni ƙuduri zuwa:	0
At the command of Allah the Exalted, the Holy Prophet (God's greetings be upon him and his household) addressed an important and fundamental issue in that sensitive condition and during the last months of his life. This important issue was attending to the issue of government after the Holy Prophet's (s.w.a.) time.	A daidai wannan lokaci mai matukar muhimmanci, sannan a watannin karshe karshe na rayuwarsa ne, Manzon Allah (s.a.w.a), bisa umurnin Ubangiji, yayi bayanin wannan lamari mai muhimmancin gaske. Wannan lamarin kuwa shi ne batun yadda za a gudanar da hukuma a bayansa.	1
These different mountains of problems that oppressed people across the world are faced with will not be eliminated unless through the willpower and firm determination of believers.	Idan ba tare da azama da karfafffiyar irada ta imani ba, ba za a iya kawar da wannan matsaloli daban-daban da suke kawo cikas ga hanyar raunanan duniya ba.	1
Both ASA's are running 8.0 (4) 29.	Dukkan abubuwan da suka faru sune manyan girgizar asa 8.4.	0
Princess leia the scream queen.	Jai Shree mansa mata ji 🙏	0
Turning away from the elections is appropriate for those who are opposed to the Islamic Republic.	Juya baya ga zaben, lamari ne da ya dace da wadanda suke adawa da wannan tsarin.	1
Another goal is to reform the structure of production and the structure of our economy.	Wata manufar kuma ta daban, ita ce gyara tsarin abubuwan da ake samarwa da kuma tsarin tattalin arziki na kasar nan.	1
In the Name of Allah, the Beneficent, the Merciful	Da Sunan Allah Mai Rahama Mai Jin Kai	1
Why do western media introduce Muslims as the symbol of violence and Islam and the Holy Quran as a danger for humanity despite all such innocence?	Duk da irin wannan zalunci da aka yi musu, me ya sa a cikin kafafen watsa labarai da jaridun kasashen yammaci ake bayyana musulmi a matsayin alamar ta'addanci sannan Alkur'ani kuma a matsayin babban hatsari ga bil'adama?	1
The Joy of Sonnets	Farid Hassanin Sons	0
To make sure it's a positive experience, get your child to choose their fabrics, they are many to choose from, we also have Reward charts to help you encourage them.	Domin akwai yaran da iyayan su suka watsar dasu, ire-iren su muna da su da yawa kazoo mu nuna maka domin ka taimake su da kanka, bawai sai ka dauko kudi ka bamu ba.	0
The great patience, which was shown by the families of our martyrs, is very valuable.	Irin wannan gagarumin hakuri da iyalan shahidai suka nuna, lamari ne mai kimar gaske.	1
Tendency to take risks Risk avoidance	Bantal Cincin Kawin wani azhar hani hantaran	0
The Islamic Revolution created a role model and a discourse, and this is one of the things that definitely affected these events.	Daya daga cikin lamurran da ko shakka babu suna da tasiri cikin wadannan abubuwan da suke faruwa, shi ne yadda juyin juya halin Musulunci ya zamanto abin koyi.	1
This is while the young consultant is a young student, a young MA or Ph.D. student or a young man who has graduated recently.	Alhali kuwa wannan matashin mai ba da shawara wani dalibin jami'a ne; a matsayin misali dalibin jami'a mai digiri na biyu ko kuma dakta ko kuma bai jima da gama karatunsa ba.	1
Therefore, this is what I mean when I sometimes speak about foreign coaches.	A saboda idan har a wani lokaci na yi magana dangane da masu horarwa na waje, to wannan shi ne abin da na ke nufi.	1
He does not need to flatter, lie and cheat. He does not need to be hypocritical. Of course, I am not saying that all those who are athletes do not have these qualities.	Tabbas ba wai muna cewa ne dukkanin mutanen da suke wasan motsa jiki, ba su da wadannan siffofi ba ne ko kuma ba sa aikata hakan ba ne, a'a, mutane su kan kauce wa hanya, to amma wannan shi ne dabi'ar zakaran zakaru na cewa wajibi ne ya nesanci irin wadannan munanan dabi'u.	1
All fair observers have a religious obligation to appreciate the efforts which were made in different arenas for the reconstruction, prosperity, and progress of the country.	Wajibi ne a kan dukkanin adilan masu sanya ido su jinjinawa irin wannan kokarin, irin wannan wahalar da aka sha da kuma ayyuka da himma da aka yi wajen gina wannan kasar da kuma ciyar da ita gaba a bangarori daban-daban.	1
"Our lack of vigilance creates opportunities for our enemies. The lesson that Ali (greetings be upon him) teaches us is that ""whoever is careless about his cause, his enemy will not sleep over this advantage..."""	Kada ku kawar da idanuwanku daga makirce-makircen makiya; don kuwa gafalarmu za ta zamanto wata dama ce ga makiya. Hakika darasin Imam Ali (a.s) a gare mu shi ne cewa: 'Duk wanda ya yi barci, ba za a yi barci saboda shi ba'.	1
There's always the danger that viewers might come across it unexpectedly, think the content is kid-friendly, and someone will watch something that they're not ready for.	Abinda ta iya fad'a kenan d'agowa yayi ya kalleta baice komai ba, itama kuma batayi expecting zaice wani abuba...	0
Faults are of two kinds, normal faults	abin da yake fitowa daga hanyoyi guda biyu to najasa ne, sai dai abu	0
Use your senses wisely...	Yi amfani da iliminka cikin hikimaGyara	0
departed from the teachings of John	Bhaaye Mujhe Na Koyi Hor Jaaniya	0
Without the presence of the people, the task at hand will not be carried out and the goal will not be achieved.	Ba za a sami ci gaba da kuma kai ga gacin da ake so in ba tare da kasantuwar mutane a fage ba.	1
And, as a result of God's majesty spread across the earth, the earth resounds with God's praise.	Da gaske kuwa, zuwa hantsi, sai ga gasasshen rago dungurungum mai maiko nyas, nyas, nyas, sai kamshi ya ke yi.	0
In a meeting with thousands of teachers from across the country, Ayatollah Khamenei the Leader of the Islamic Revolution said that teachers have a key role in educating innovative and pious individuals in the country.	Jagoran juyin juya halin Musulunci Ayatullah Sayyid Ali Khamene'i, a wata ganawa da ya yi yau din nan laraba (5, Mayu 2010) da dubun dubatan malaman da suka fito daga yankuna daban-daban na kasar Iran, ya yi karin bayani kan irin gagarumar gudummawar malamai wajen ginawa da kuma tarbiyyar bil'adama ma'abota tunani da kyawawan halaye da kuma dogaro da kai wajen ci gaba da tafarkin ci gaban kasa.	1
